blur_z,blur_x,epsilon,p,time_ista,time_fista,time_dr
0.01,0.03,0.0001,1,40.59594,41.32316,132.18834
0.01,0.03,0.0001,2,41.65840,43.16367,137.26826
0.01,0.03,0.0001,4,43.25945,38.62053,124.35602
0.01,0.03,0.0001,8,39.59312,39.40004,122.93396
0.01,0.03,0.0001,12,37.21804,39.46328,124.91547
0.01,0.03,0.0001,20,40.44734,40.64799,125.78587
0.01,0.03,1e-08,1,40.23303,38.15037,130.08725
0.01,0.03,1e-08,2,36.57016,42.79771,141.11234
0.01,0.03,1e-08,4,37.62865,39.46856,129.95950
0.01,0.03,1e-08,8,48.38083,42.43028,127.95825
0.01,0.03,1e-08,12,40.78443,44.11260,130.59476
0.01,0.03,1e-08,20,40.84336,38.37803,130.24990
0.01,0.03,1e-12,1,42.11503,46.71219,117.96582
0.01,0.03,1e-12,2,39.02069,39.96942,121.12222
0.01,0.03,1e-12,4,39.89629,37.89388,112.13470
0.01,0.03,1e-12,8,40.50220,37.83135,112.27789
0.01,0.03,1e-12,12,36.24827,37.04226,104.85497
0.01,0.03,1e-12,20,35.00950,35.33117,104.01610
0.1,0.3,0.0001,1,41.69529,39.64276,126.28826
0.1,0.3,0.0001,2,39.00113,38.56945,125.31157
0.1,0.3,0.0001,4,39.37185,40.51036,122.28928
0.1,0.3,0.0001,8,39.94381,41.37236,129.21813
0.1,0.3,0.0001,12,39.52442,40.02825,123.27310
0.1,0.3,1e-08,1,40.98185,41.63347,114.97938
0.1,0.3,1e-08,2,36.11004,37.28026,108.56235
0.1,0.3,1e-08,4,35.63364,37.43333,109.08166
0.1,0.3,1e-08,8,37.70205,41.26377,112.22294
0.1,0.3,1e-08,12,35.93770,36.71136,102.08349
0.1,0.3,1e-12,1,38.65283,39.79218,111.69999
0.1,0.3,1e-12,2,35.81760,36.17257,104.18569
0.1,0.3,1e-12,4,37.53465,37.62228,101.81151
0.1,0.3,1e-12,8,35.66656,36.80366,108.72181
0.1,0.3,1e-12,12,35.57274,36.27775,100.33118
1.0,3.0,0.0001,1,45.09035,45.42597,83.96406
1.0,3.0,0.0001,2,45.53050,46.23448,82.57830
1.0,3.0,0.0001,4,44.33550,47.17699,82.47800
1.0,3.0,0.0001,8,45.35218,45.25363,81.66431
1.0,3.0,0.0001,12,44.26584,46.31436,80.16679
1.0,3.0,1e-08,1,47.05262,47.06678,56.79697
1.0,3.0,1e-08,2,46.07728,45.74552,53.97024
1.0,3.0,1e-08,4,44.85140,45.95662,59.48353
1.0,3.0,1e-08,8,44.97649,46.31803,57.59064
1.0,3.0,1e-08,12,46.67077,45.87359,56.25141
1.0,3.0,1e-12,1,44.94636,45.21594,55.25345
1.0,3.0,1e-12,2,44.98553,45.39271,54.38378
1.0,3.0,1e-12,4,45.61916,46.51400,56.66120
1.0,3.0,1e-12,8,46.35933,45.16252,56.09220
1.0,3.0,1e-12,12,44.39521,46.40884,54.30798
